GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,117,2,14,0,17,2,8,0,2
Commons Lang,org.apache.commons.lang3.text.translate,OctalUnescaper,0,71,0,12,0,13,0,9,0,3
Commons Lang,org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
Commons Lang,org.apache.commons.lang3.text.translate,CharSequenceTranslator,6,105,0,12,2,27,0,11,0,5
Commons Lang,org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,15,34,0,0,3,5,3,3,3,3
Commons Lang,org.apache.commons.lang3.text.translate,LookupTranslator,0,109,1,13,0,25,1,8,0,2
Commons Lang,org.apache.commons.lang3.text.translate,CodePointTranslator,0,18,0,2,0,6,0,3,0,2
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityEscaper,0,76,0,10,0,20,0,12,0,7
Commons Lang,org.apache.commons.lang3.text.translate,UnicodeEscaper,15,120,0,18,3,25,2,15,2,6
Commons Lang,org.apache.commons.lang3.text.translate,EntityArrays,0,3450,0,2,0,283,0,14,0,13
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,2,203,5,43,0,42,5,22,0,3
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,0,34,0,0,0,1,0,1,0,1
Commons Lang,org.apache.commons.lang3,LocaleUtils,22,466,4,68,2,93,4,42,0,10
Commons Lang,org.apache.commons.lang3,EnumUtils,0,366,1,25,0,64,1,25,0,13
Commons Lang,org.apache.commons.lang3,CharSet,0,300,0,34,0,59,0,26,0,9
Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,21,1,3,0,3
Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,5,61,1,3,1,12,1,4,0,3
Commons Lang,org.apache.commons.lang3,RandomStringUtils,13,267,2,54,5,61,3,38,1,12
Commons Lang,org.apache.commons.lang3,Range,23,414,6,72,2,92,6,57,0,24
Commons Lang,org.apache.commons.lang3,Conversion,191,2602,82,374,58,505,73,229,1,43
Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},6,77,4,4,1,22,4,3,0,3
Commons Lang,org.apache.commons.lang3,BitField,0,150,0,14,0,27,0,25,0,18
Commons Lang,org.apache.commons.lang3,CharUtils,0,297,0,74,0,58,0,61,0,24
Commons Lang,org.apache.commons.lang3,CharRange,0,238,1,47,0,44,1,37,0,14
Commons Lang,org.apache.commons.lang3,AnnotationUtils,48,455,9,83,18,94,10,47,1,10
Commons Lang,org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1
Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,4,126,0,18,1,35,1,13,1,4
Commons Lang,org.apache.commons.lang3,ClassUtils,53,1125,14,216,14,283,17,139,3,38
Commons Lang,org.apache.commons.lang3,JavaVersion,0,195,0,20,0,45,0,16,0,6
Commons Lang,org.apache.commons.lang3,BooleanUtils,0,799,10,246,0,206,10,160,0,40
Commons Lang,org.apache.commons.lang3,Validate,22,569,10,76,6,110,10,72,2,37
Commons Lang,org.apache.commons.lang3,ArrayUtils,2,5145,12,1052,1,1266,12,744,0,224
Commons Lang,org.apache.commons.lang3,ObjectUtils,31,583,1,87,6,141,1,78,0,35
Commons Lang,org.apache.commons.lang3,CharEncoding,0,13,0,2,0,6,0,3,0,2
Commons Lang,org.apache.commons.lang3,Range.ComparableComparator,0,19,0,0,0,3,0,2,0,2
Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,5,82,2,6,1,14,2,5,0,3
Commons Lang,org.apache.commons.lang3,SerializationException,0,16,0,0,0,8,0,4,0,4
Commons Lang,org.apache.commons.lang3,CharSequenceUtils,42,142,12,26,12,36,9,18,0,8
Commons Lang,org.apache.commons.lang3,ObjectUtils.Null,0,5,0,0,0,3,0,2,0,2
Commons Lang,org.apache.commons.lang3,StringEscapeUtils,8,503,0,0,2,86,2,14,2,14
Commons Lang,org.apache.commons.lang3,CharSetUtils,0,226,1,47,0,53,1,31,0,8
Commons Lang,org.apache.commons.lang3,SystemUtils,32,343,16,24,6,97,17,18,2,13
Commons Lang,org.apache.commons.lang3,StringUtils,64,5417,37,1204,24,1356,38,770,1,186
Commons Lang,org.apache.commons.lang3,SerializationUtils,29,130,1,13,7,43,1,12,0,6
Commons Lang,org.apache.commons.lang3.reflect,TypeUtils,876,512,192,90,190,118,125,44,8,20
Commons Lang,org.apache.commons.lang3.reflect,MemberUtils,14,205,8,36,3,42,8,23,1,8
Commons Lang,org.apache.commons.lang3.reflect,FieldUtils,45,567,7,65,8,135,8,59,1,30
Commons Lang,org.apache.commons.lang3.reflect,ConstructorUtils,23,142,8,22,8,42,9,14,1,7
Commons Lang,org.apache.commons.lang3.reflect,MethodUtils,21,362,6,60,7,110,5,42,0,14
Commons Lang,org.apache.commons.lang3.event,EventUtils,26,80,0,0,4,13,0,3,0,3
Commons Lang,org.apache.commons.lang3.event,EventListenerSupport.ProxyInvocationHandler,0,26,0,2,0,4,0,3,0,2
Commons Lang,org.apache.commons.lang3.event,EventListenerSupport,0,185,0,2,0,44,0,15,0,14
Commons Lang,org.apache.commons.lang3.event,EventUtils.EventBindingInvocationHandler,0,60,0,8,0,11,0,7,0,3
Commons Lang,org.apache.commons.lang3.math,IEEE754rUtils,0,223,0,40,0,57,0,33,0,13
Commons Lang,org.apache.commons.lang3.math,NumberUtils,40,1443,43,295,7,378,37,182,0,49
Commons Lang,org.apache.commons.lang3.math,Fraction,32,1274,16,180,6,287,14,119,0,35
Commons Lang,org.apache.commons.lang3.concurrent,ConstantInitializer,0,57,0,6,0,14,0,9,0,6
Commons Lang,org.apache.commons.lang3.concurrent,BackgroundInitializer.InitializationTask,0,21,0,2,0,6,0,3,0,2
Commons Lang,org.apache.commons.lang3.concurrent,BasicThreadFactory.Builder,0,77,0,6,0,29,0,11,0,8
Commons Lang,org.apache.commons.lang3.concurrent,TimedSemaphore,0,203,0,24,0,58,0,28,0,16
Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentUtils.ConstantFuture,0,18,0,0,0,8,0,6,0,6
Commons Lang,org.apache.commons.lang3.concurrent,MultiBackgroundInitializer.MultiBackgroundInitializerResults,0,74,0,2,0,19,0,9,0,8
Commons Lang,org.apache.commons.lang3.concurrent,CallableBackgroundInitializer,0,31,0,2,0,12,0,5,0,4
Commons Lang,org.apache.commons.lang3.concurrent,TimedSemaphore.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
Commons Lang,org.apache.commons.lang3.concurrent,BackgroundInitializer,4,102,0,10,2,33,0,17,0,12
Commons Lang,org.apache.commons.lang3.concurrent,LazyInitializer,0,28,1,3,0,8,1,3,0,2
Commons Lang,org.apache.commons.lang3.concurrent,AtomicInitializer,4,25,1,3,1,7,1,3,0,2
Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentException,3,11,0,0,2,4,1,2,1,2
Commons Lang,org.apache.commons.lang3.concurrent,MultiBackgroundInitializer,0,159,0,14,0,37,0,12,0,5
Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentRuntimeException,3,11,0,0,2,4,1,2,1,2
Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentUtils,0,157,0,34,0,43,0,29,0,12
Commons Lang,org.apache.commons.lang3.concurrent,AtomicSafeInitializer,0,33,1,3,0,8,1,3,0,2
Commons Lang,org.apache.commons.lang3.concurrent,BasicThreadFactory,0,107,0,10,0,30,0,14,0,9
Commons Lang,org.apache.commons.lang3.tuple,ImmutablePair,4,21,0,0,1,7,1,4,1,4
Commons Lang,org.apache.commons.lang3.tuple,Pair,2,107,1,11,0,17,1,14,0,9
Commons Lang,org.apache.commons.lang3.tuple,MutableTriple,0,43,0,0,0,17,0,9,0,9
Commons Lang,org.apache.commons.lang3.tuple,MutablePair,0,40,0,0,0,16,0,8,0,8
Commons Lang,org.apache.commons.lang3.tuple,ImmutableTriple,0,28,0,0,0,9,0,5,0,5
Commons Lang,org.apache.commons.lang3.tuple,Triple,4,130,2,14,0,19,2,13,0,7
Commons Lang,org.apache.commons.lang3.exception,ExceptionUtils,46,566,6,80,14,139,7,62,3,23
Commons Lang,org.apache.commons.lang3.exception,ContextedRuntimeException,0,97,0,2,0,28,0,15,0,14
Commons Lang,org.apache.commons.lang3.exception,ContextedException,0,97,0,2,0,28,0,15,0,14
Commons Lang,org.apache.commons.lang3.exception,DefaultExceptionContext,0,227,0,24,0,49,0,20,0,8
Commons Lang,org.apache.commons.lang3.exception,CloneFailedException,8,5,0,0,4,2,2,1,2,1
Commons Lang,org.apache.commons.lang3.mutable,MutableShort,0,147,0,8,0,41,0,27,0,23
Commons Lang,org.apache.commons.lang3.mutable,MutableFloat,0,138,0,4,0,41,0,26,0,24
Commons Lang,org.apache.commons.lang3.mutable,MutableDouble,0,146,0,4,0,42,0,26,0,24
Commons Lang,org.apache.commons.lang3.mutable,MutableByte,0,147,0,8,0,41,0,27,0,23
Commons Lang,org.apache.commons.lang3.mutable,MutableBoolean,0,90,0,12,0,24,0,20,0,14
Commons Lang,org.apache.commons.lang3.mutable,MutableLong,0,147,0,8,0,40,0,26,0,22
Commons Lang,org.apache.commons.lang3.mutable,MutableObject,0,59,0,10,0,18,0,12,0,7
Commons Lang,org.apache.commons.lang3.mutable,MutableInt,0,138,0,8,0,40,0,26,0,22
Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.NoFieldNameToStringStyle,2,6,0,0,1,3,1,1,1,1
Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.SimpleToStringStyle,2,18,0,0,1,7,1,1,1,1
Commons Lang,org.apache.commons.lang3.builder,ReflectionToStringBuilder,61,302,1,39,8,76,6,40,5,21
Commons Lang,org.apache.commons.lang3.builder,HashCodeBuilder,39,745,5,93,6,158,8,77,3,33
Commons Lang,org.apache.commons.lang3.builder,CompareToBuilder,55,984,30,210,21,237,32,118,2,28
Commons Lang,org.apache.commons.lang3.builder,ToStringStyle,182,1542,27,191,42,469,43,179,16,97
Commons Lang,org.apache.commons.lang3.builder,StandardToStringStyle,97,46,0,0,39,23,29,12,29,12
Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.ShortPrefixToStringStyle,2,9,0,0,1,4,1,1,1,1
Commons Lang,org.apache.commons.lang3.builder,ToStringBuilder,195,394,1,11,38,95,20,50,19,45
Commons Lang,org.apache.commons.lang3.builder,EqualsBuilder,94,925,49,183,38,224,50,101,1,34
Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.MultiLineToStringStyle,2,29,0,0,1,6,1,1,1,1
Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.DefaultToStringStyle,2,3,0,0,1,2,1,1,1,1
Commons Lang,org.apache.commons.lang3.builder,IDKey,6,31,3,3,2,9,3,3,0,3
Commons Lang,org.apache.commons.lang3.text,StrMatcher.CharSetMatcher,0,22,0,2,0,5,0,3,0,2
Commons Lang,org.apache.commons.lang3.text,StrBuilder.StrBuilderReader,0,148,1,23,0,31,1,20,0,9
Commons Lang,org.apache.commons.lang3.text,StrLookup.MapStrLookup,0,23,0,4,0,9,0,4,0,2
Commons Lang,org.apache.commons.lang3.text,StrSubstitutor,15,850,7,83,7,226,7,85,0,47
Commons Lang,org.apache.commons.lang3.text,FormattableUtils,12,113,1,15,3,14,3,11,2,4
Commons Lang,org.apache.commons.lang3.text,StrMatcher.TrimMatcher,0,12,0,2,0,3,0,3,0,2
Commons Lang,org.apache.commons.lang3.text,StrMatcher.CharMatcher,0,16,0,2,0,4,0,3,0,2
Commons Lang,org.apache.commons.lang3.text,StrBuilder.StrBuilderWriter,0,43,0,0,0,15,0,8,0,8
Commons Lang,org.apache.commons.lang3.text,ExtendedMessageFormat,173,604,42,69,41,150,42,37,5,16
Commons Lang,org.apache.commons.lang3.text,StrMatcher.NoMatcher,0,5,0,0,0,3,0,2,0,2
Commons Lang,org.apache.commons.lang3.text,WordUtils,0,435,0,76,0,115,0,51,0,13
Commons Lang,org.apache.commons.lang3.text,StrMatcher,0,135,0,12,0,35,0,22,0,16
Commons Lang,org.apache.commons.lang3.text,StrTokenizer,51,920,2,90,19,232,8,103,6,59
Commons Lang,org.apache.commons.lang3.text,StrMatcher.StringMatcher,0,40,0,6,0,10,0,5,0,2
Commons Lang,org.apache.commons.lang3.text,StrBuilder,25,3201,9,477,7,690,11,377,2,143
Commons Lang,org.apache.commons.lang3.text,StrLookup,3,32,0,0,1,13,0,5,0,5
Commons Lang,org.apache.commons.lang3.text,CompositeFormat,0,34,0,0,0,9,0,6,0,6
Commons Lang,org.apache.commons.lang3.text,StrBuilder.StrBuilderTokenizer,8,27,2,2,2,8,2,3,0,3
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.CharacterLiteral,0,14,0,0,0,6,0,3,0,3
Commons Lang,org.apache.commons.lang3.time,DateFormatUtils,6,149,0,0,1,38,1,17,1,17
Commons Lang,org.apache.commons.lang3.time,DurationFormatUtils,31,852,11,122,12,220,12,70,1,11
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneNumberRule,0,97,0,4,0,21,0,6,0,4
Commons Lang,org.apache.commons.lang3.time,FormatCache,22,177,3,17,5,39,3,16,0,9
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwentyFourHourField,24,10,2,0,7,4,3,2,2,2
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitYearField,0,38,0,0,0,9,0,5,0,5
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TextField,0,43,0,4,0,12,0,5,0,3
Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,19,0,2,0,6,0,3,0,2
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitNumberField,0,44,0,2,0,12,0,5,0,4
Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,8,0,0,0,2,0,2,0,2
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneDisplayKey,6,61,5,7,2,15,5,4,0,3
Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,8,0,0,0,2,0,2,0,2
Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,8,0,0,0,2,0,2,0,2
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter,50,690,11,91,10,168,10,76,2,23
Commons Lang,org.apache.commons.lang3.time,DurationFormatUtils.Token,6,111,1,15,1,30,2,15,1,8
Commons Lang,org.apache.commons.lang3.time,FastDateParser,43,662,10,69,9,143,12,60,2,21
Commons Lang,org.apache.commons.lang3.time,DateUtils,66,1379,22,196,12,313,24,152,4,56
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.UnpaddedNumberField,0,55,0,4,0,14,0,6,0,4
Commons Lang,org.apache.commons.lang3.time,DateUtils.DateIterator,0,44,0,2,0,11,0,5,0,4
Commons Lang,org.apache.commons.lang3.time,FastDateParser.CopyQuotedStrategy,0,31,0,2,0,9,0,4,0,3
Commons Lang,org.apache.commons.lang3.time,FastDateParser.Strategy,1,2,0,0,1,1,1,1,1,1
Commons Lang,org.apache.commons.lang3.time,FastDateParser.NumberStrategy,0,39,0,2,0,12,0,6,0,5
Commons Lang,org.apache.commons.lang3.time,FormatCache.MultipartKey,0,50,0,6,0,11,0,6,0,3
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitMonthField,0,38,0,0,0,9,0,5,0,5
Commons Lang,org.apache.commons.lang3.time,FastDateFormat.new FormatCache() {...},0,10,0,0,0,2,0,2,0,2
Commons Lang,org.apache.commons.lang3.time,StopWatch,5,206,1,29,1,56,1,29,0,15
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.PaddedNumberField,5,93,2,10,1,23,2,8,0,4
Commons Lang,org.apache.commons.lang3.time,FastDateParser.TextStrategy,41,61,3,3,6,13,2,4,0,3
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.StringLiteral,0,16,0,0,0,6,0,3,0,3
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwelveHourField,24,10,2,0,7,4,3,2,2,2
Commons Lang,org.apache.commons.lang3.time,FastDateFormat,34,230,0,2,6,38,6,32,6,31
Commons Lang,org.apache.commons.lang3.time,FastDateParser.TimeZoneStrategy,20,155,3,13,3,28,2,9,0,3
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.UnpaddedMonthField,18,31,1,1,2,10,1,5,0,5
Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneNameRule,0,63,1,3,0,14,1,4,0,3
